sample,CCR_mean,delta_f1_mean,delta_f1_std
0,1180.8657771992623,0.0340175432107509,0.009669960468588165
1,474.46464963433664,0.1142490436899926,0.030063968767579052
2,393.6219257330875,0.08592453555707247,0.05826794159308871
3,590.7020011286191,0.06820598812460743,0.03451150961502292
4,2902.576014504346,0.18282944851508154,0.02495741811865427
5,393.6219257330875,0.04485600448933783,0.030028826996495277
6,651.2563771237138,0.08954285134767385,0.05726119939738889
7,2136.851097240215,0.15944281165359564,0.013318595870136039
8,833.9769565483851,0.08600171981273441,0.05401923485311168
9,295.21644429981563,0.05198548523219537,0.024773104803722062
10,1264.3904297328688,0.045462218179663706,0.02946175553799056
11,598.3380380776503,0.05154087459060941,0.03834270471195506
